Date,Open,High,Low,Close,Volume,fng_value,GDELT_Tone,Funding_Rate,Future_15d_Min,Max_Drop_Percent,Target_Crash
2022-05-18,30424.478515625,30618.716796875,28720.271484375,28720.271484375,31285268319,12,-0.5493,-3.2720000000000005e-05,28627.57421875,-0.0032275901596344973,0
2022-05-19,28720.359375,30430.751953125,28708.955078125,30314.333984375,33773447707,13,-1.0672,4.249333333333333e-05,28627.57421875,-0.055642316486135275,0
2022-05-20,30311.119140625,30664.9765625,28793.60546875,29200.740234375,30749382605,13,-0.4717,0.0001,28627.57421875,-0.019628475546324374,0
2022-05-21,29199.859375,29588.869140625,29027.39453125,29432.2265625,17274840442,13,-1.0681,6.699999999999998e-07,28627.57421875,-0.027339159748628005,0
2022-05-22,29432.47265625,30425.861328125,29275.18359375,30323.72265625,21631532270,14,-0.7965,3.1156666666666666e-05,28627.57421875,-0.05593470355627356,0
2022-05-23,30309.396484375,30590.5859375,28975.560546875,29098.91015625,31483454557,10,-0.4435,0.0001,28627.57421875,-0.016197717885965714,0
2022-05-24,29101.125,29774.35546875,28786.58984375,29655.5859375,26616506245,12,-0.6495,-3.385333333333333e-05,28627.57421875,-0.03466502806306253,0
2022-05-25,29653.134765625,30157.78515625,29384.94921875,29562.361328125,27525063551,11,-0.6034,7.893e-05,28627.57421875,-0.031620853929745577,0
2022-05-26,29564.77734375,29834.16015625,28261.90625,29267.224609375,36774325352,12,-0.4527,6.079e-05,28627.57421875,-0.021855519242508035,0
2022-05-27,29251.140625,29346.943359375,28326.61328125,28627.57421875,36582005748,12,-0.6901,0.0001,28360.810546875,-0.009318416916382657,0
2022-05-28,28622.625,28814.900390625,28554.56640625,28814.900390625,35519577634,13,-0.7548,9.570666666666668e-05,26762.6484375,-0.07122189996508561,0
2022-05-29,29019.8671875,29498.009765625,28841.107421875,29445.95703125,18093886409,14,-0.5385,0.0001,22487.388671875,-0.2363165969436859,1
2022-05-30,29443.365234375,31949.630859375,29303.572265625,31726.390625,39277993274,10,-0.4834,0.0001,22206.79296875,-0.3000529675363915,1
2022-05-31,31723.865234375,32249.86328125,31286.154296875,31792.310546875,33538210634,16,-0.3117,0.0001,22206.79296875,-0.30150427613595393,1
2022-06-01,31792.5546875,31957.28515625,29501.587890625,29799.080078125,41135817341,17,-0.735,0.0001,20381.650390625,-0.3160308862827338,1
2022-06-02,29794.890625,30604.734375,29652.705078125,30467.48828125,29083562061,13,-0.716,9.733333333333334e-06,20381.650390625,-0.3310360800838291,1
2022-06-03,30467.806640625,30633.03515625,29375.689453125,29704.390625,26175547452,10,-1.3388,7.009999999999998e-06,19017.642578125,-0.35976998086877937,1
2022-06-04,29706.138671875,29930.564453125,29500.005859375,29832.9140625,16588370958,14,-2.1587,3.523666666666666e-05,19017.642578125,-0.3625281614031063,1
2022-06-05,29835.1171875,30117.744140625,29574.44921875,29906.662109375,17264085441,10,-1.3457,3.979666666666667e-05,19017.642578125,-0.36410012897549543,1
2022-06-06,29910.283203125,31693.291015625,29894.1875,31370.671875,31947336829,13,-0.8352,8.564e-05,19017.642578125,-0.3937763700470633,1
2022-06-07,31371.7421875,31489.68359375,29311.68359375,31155.478515625,40770974039,15,-0.5872,-1.3129999999999998e-05,19017.642578125,-0.3895891353879437,1
2022-06-08,31151.48046875,31253.69140625,29944.404296875,30214.35546875,30242059107,17,-0.4339,0.0001,19017.642578125,-0.37057593044490056,1
2022-06-09,30215.279296875,30609.310546875,30020.265625,30111.998046875,21692004719,11,-0.182,9.702e-05,19017.642578125,-0.36843637713709815,1
