Date,Open,High,Low,Close,Volume,fng_value,GDELT_Tone,Funding_Rate,Future_15d_Min,Max_Drop_Percent,Target_Crash,SMA_7,SMA_14,Volume_Ratio_7d,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width_Percent,RSI_14,FNG_Momentum_3d,FNG_Momentum_7d,GDELT_Tone_Momentum_3d,Funding_Rate_7d_Avg
2022-05-29,29019.8671875,29498.009765625,28841.107421875,29445.95703125,18093886409,14,-0.5385,0.0001,22487.388671875,-0.2363165969436859,1,29210.35909598214,29482.32742745536,0.5957680679297225,29622.45400390625,751.063608390876,31124.581220688,28120.326787124497,-0.05874900963261499,41.67733934500648,2.0,0.0,-0.08579999999999999,7.165333333333335e-05
2022-05-30,29443.365234375,31949.630859375,29303.572265625,31726.390625,39277993274,10,-0.4834,0.0001,22206.79296875,-0.3000529675363915,1,29585.713448660714,29615.4326171875,1.247546411257628,29657.62822265625,832.1934438524887,31322.01511036123,27993.24133495127,0.6214788213082967,57.75963226048866,-2.0,0.0,0.20670000000000005,7.165333333333335e-05
2022-05-31,31723.865234375,32249.86328125,31286.154296875,31792.310546875,33538210634,16,-0.3117,0.0001,22206.79296875,-0.3015042761359539,1,29890.959821428572,29713.03641183036,1.0328026790717857,29800.4259765625,939.9659260683565,31680.357828699212,27920.494124425786,0.5297757384259816,55.93570115228064,3.0,4.0,0.44310000000000005,9.077523809523809e-05
2022-06-01,31792.5546875,31957.28515625,29501.587890625,29799.080078125,41135817341,17,-0.735,0.0001,20381.650390625,-0.3160308862827338,1,29924.776785714286,29790.094168526786,1.1952040114062565,29837.9923828125,923.1650884331957,31684.32255967889,27991.662205946108,-0.010537742700371609,54.57195689853542,3.0,6.0,-0.1965,9.37852380952381e-05
2022-06-02,29794.890625,30604.734375,29652.705078125,30467.48828125,29083562061,13,-0.716,9.733333333333334e-06,20381.650390625,-0.3310360800838291,1,30096.243024553572,29801.033761160714,0.8728894875711004,29897.21162109375,923.6844670039861,31744.580555101722,28049.842687085777,0.15434834094535813,50.704322762429044,3.0,1.0,-0.23259999999999997,8.649142857142859e-05
2022-06-03,30467.806640625,30633.03515625,29375.689453125,29704.390625,26175547452,10,-1.3388,7.009999999999998e-06,19017.642578125,-0.3597699808687793,1,30250.07393973214,29837.0087890625,0.8223007533093403,29877.36787109375,923.3330159592442,31724.033903012238,28030.70183917526,-0.046835010528147425,52.39333083483735,-6.0,-2.0,-1.0271,7.320714285714286e-05
2022-06-04,29706.138671875,29930.564453125,29500.005859375,29832.9140625,16588370958,14,-2.1587,3.523666666666666e-05,19017.642578125,-0.3625281614031063,1,30395.504464285714,29865.629324776786,0.5695064355521605,29803.75791015625,860.0331684772492,31523.82424711075,28083.69157320175,0.008475298806025001,51.92287071911195,-3.0,1.0,-1.4237000000000002,6.456857142857144e-05
2022-06-05,29835.1171875,30117.744140625,29574.44921875,29906.662109375,17264085441,10,-1.3457,3.979666666666667e-05,19017.642578125,-0.3641001289754954,1,30461.319475446428,29835.839285714286,0.5951268751653864,29805.9451171875,860.2471386309315,31526.439394449364,28085.450839925637,0.02926978413081054,47.82809112669928,-3.0,-4.0,-0.6296999999999999,5.596809523809524e-05
2022-06-06,29910.283203125,31693.291015625,29894.1875,31370.671875,31947336829,13,-0.8352,8.564e-05,19017.642578125,-0.3937763700470633,1,30410.502511160714,29998.107979910714,1.1425331291211258,29853.18583984375,919.9520151817178,31693.089870207186,28013.281809480315,0.41238184440970566,61.54298686899923,3.0,3.0,0.5035999999999999,5.391666666666667e-05
2022-06-07,31371.7421875,31489.68359375,29311.68359375,31155.478515625,40770974039,15,-0.5872,-1.3129999999999998e-05,19017.642578125,-0.3895891353879437,1,30319.526506696428,30105.2431640625,1.4061332852775499,29974.94619140625,923.2631519383343,31821.472495282916,28128.41988752958,0.3196630131236952,57.89503660660183,1.0,-1.0,1.5715,3.7755238095238106e-05
2022-06-08,31151.48046875,31253.69140625,29944.404296875,30214.35546875,30242059107,17,-0.4339,0.0001,19017.642578125,-0.3705759304449005,1,30378.8515625,30151.81417410714,1.102162128847102,29969.947265625,921.5980128844215,31813.143291393844,28126.751239856156,0.06630011124916871,53.150686793299066,7.0,0.0,0.9117999999999999,3.7755238095238106e-05
2022-06-09,30215.279296875,30609.310546875,30020.265625,30111.998046875,21692004719,11,-0.182,9.702e-05,19017.642578125,-0.3684363771370981,1,30328.067243303572,30212.155133928572,0.8221990567124652,30015.51015625,903.9240325900987,31823.358221430197,28207.6620910698,0.026685840608896512,54.15977416709112,-2.0,-2.0,0.6532,5.022476190476191e-05
2022-06-10,30110.330078125,30245.80859375,28978.146484375,29083.8046875,29867476527,13,-0.4454,7.597333333333333e-05,19017.642578125,-0.3461088470897812,1,30239.412109375,30244.743024553572,1.1098889127098117,29998.0890625,918.9891447957708,31836.06735209154,28160.110772908458,-0.24872012367544968,52.163743080079335,-2.0,3.0,0.14180000000000004,6.0076666666666674e-05
2022-06-11,29084.666015625,29401.916015625,28236.212890625,28360.810546875,27246574439,12,-0.7692,2.9156666666666668e-05,19017.642578125,-0.3294393844388731,1,30029.11160714286,30212.308035714286,0.958275291652214,29899.94345703125,984.8396187808785,31869.62269459301,27930.264219469493,-0.39070648682409953,47.95054163513798,-5.0,-2.0,-0.3353,5.920809523809524e-05
2022-06-12,28373.513671875,28502.685546875,26762.6484375,26762.6484375,34163220274,14,-1.1214,3.667333333333333e-05,19017.642578125,-0.2893960916260681,1,29579.966796875,30020.643136160714,1.1075021259058386,29783.13037109375,1199.9195624220433,32182.969495937836,27383.291246249664,-0.6293092529254407,38.86168241817006,3.0,4.0,-0.9394,5.876190476190477e-05
2022-06-13,26737.578125,26795.58984375,22141.2578125,22487.388671875,68204556440,11,-2.6943,6.180000000000001e-06,19017.642578125,-0.1542974217406405,1,28310.926339285714,29360.714425223214,1.893167172081797,29424.7205078125,2026.1287812581718,33476.97807032884,25372.462945296156,-0.8559835756873269,17.098088596753215,-2.0,-2.0,-2.2489,4.74104761904762e-05
2022-06-14,22487.986328125,23018.951171875,20950.818359375,22206.79296875,50913575242,8,-2.4675,-3.711666666666666e-05,19017.642578125,-0.1436114793843874,1,27032.54268973214,28676.034598214286,1.3585779406030725,29056.94208984375,2589.178619967916,34235.299329779584,23878.58484990792,-0.6614210649919001,16.378157889003873,-4.0,-7.0,-1.6982999999999997,4.398380952380953e-05
2022-06-15,22196.73046875,22642.671875,20178.376953125,22572.83984375,54912007015,7,-2.696,-3.3276666666666666e-05,19017.642578125,-0.1574988920416838,1,25940.897600446428,28159.874581473214,1.339319975846383,28722.2228515625,2965.87340846846,34653.96966849942,22790.47603462558,-0.5183450337305499,21.387375144790198,-7.0,-10.0,-1.5746000000000002,2.494428571428572e-05
2022-06-16,22576.3046875,22868.921875,20265.2265625,20381.650390625,31183975654,7,-1.9571,-1.6386666666666667e-05,19017.642578125,-0.0669233249691794,0,24550.84793526786,27439.457589285714,0.7362366671897874,28309.92666015625,3504.04370954503,35318.014079246306,21301.839241066187,-0.5656519243705915,14.362241380428827,-4.0,-4.0,0.7372000000000001,8.743333333333338e-06
2022-06-17,20385.71875,21243.3125,20326.51953125,20471.482421875,27132421514,9,-1.6463,-2.205333333333333e-05,19017.642578125,-0.0710178097408561,0,23320.516183035714,26779.96414620536,0.6465458981745057,27892.75576171875,3913.496905028986,35719.74957177672,20065.761951660777,-0.47408197322879836,15.746265293265935,1.0,-4.0,0.8211999999999997,-5.260476190476186e-06
2022-06-18,20473.42578125,20736.041015625,17708.623046875,19017.642578125,42009436760,6,-2.8433,5.719333333333333e-05,19242.255859375,0.0118107846609947,0,21985.777901785714,26007.444754464286,0.9531532043656955,27371.3400390625,4364.397921996504,36100.13588305551,18642.54419506949,-0.4785137383346154,13.468202456212993,-1.0,-6.0,-0.1473,-1.2552380952380926e-06
2022-06-19,19010.90234375,20683.822265625,18067.15234375,20553.271484375,35329942625,6,-2.5343,2.3076666666666665e-05,19242.255859375,-0.0637862262461068,0,21098.724051339286,25339.34542410714,0.798582002592383,26812.68408203125,4490.862529115351,35794.40914026195,17830.959023800548,-0.348452694614618,21.245862747325518,-1.0,-8.0,-0.5771999999999999,-3.197619047619044e-06
2022-06-20,20553.37109375,20913.322265625,19689.169921875,20599.537109375,30818458597,9,-2.0421,2.1376666666666665e-05,19242.255859375,-0.0658889198720048,0,20829.03097098214,24569.978655133928,0.7922488242309569,26253.04541015625,4534.845703671962,35322.736817500176,17183.354002812324,-0.3116703781235314,13.725447118930859,0.0,-2.0,-0.39579999999999993,-1.0266666666666637e-06
2022-06-21,20594.294921875,21620.62890625,20415.0625,20710.59765625,28970212744,9,-1.4409,5.665e-05,19242.255859375,-0.0708980890482359,0,20615.28878348214,23823.91573660714,0.8100110272040358,25798.6212890625,4615.45473136229,35029.53075178708,16567.71182633792,-0.27559709329608817,14.575729132235097,3.0,1.0,1.4024,1.236857142857143e-05
2022-06-22,20719.4140625,20835.75,19848.078125,19987.029296875,28574793478,11,-1.0115,-1.4813333333333334e-05,19242.255859375,-0.0372628381355525,0,20245.887276785714,23093.392438616072,0.8928855982234426,25274.59833984375,4652.279048938203,34579.15643772016,15970.040241967343,-0.28413864405745065,14.794043726082606,5.0,4.0,1.5228,1.500619047619048e-05
2022-06-23,19986.607421875,21135.76171875,19950.1171875,21085.876953125,26188097173,11,-1.2229,-1.7016666666666666e-05,19242.255859375,-0.0874339302011704,0,20346.491071428572,22448.669503348214,0.8369731785290415,24843.67265625,4619.402415811561,34082.477487873126,15604.86782462688,-0.20337022870439891,20.9237825594564,2.0,4.0,0.8191999999999999,1.4916190476190478e-05
2022-06-24,21084.6484375,21472.91796875,20777.51171875,21231.65625,24957784918,11,-1.1844,8.668666666666667e-05,19242.255859375,-0.0936997268230075,0,20455.087332589286,21887.8017578125,0.8056514668586654,24413.609765625,4529.980514749733,33473.57079512446,15353.648736125533,-0.17560525399968482,23.180850047577096,2.0,2.0,0.2565000000000002,3.0450476190476195e-05
2022-06-25,21233.609375,21520.9140625,20964.5859375,21502.337890625,18372538715,14,-1.7292,7.540333333333334e-05,19242.255859375,-0.1051086650552261,1,20810.043805803572,21397.91085379464,0.6656309407651392,23993.3935546875,4380.963559096679,32755.32067288086,15231.466436494142,-0.14215227029736677,25.827906746222965,3.0,8.0,-0.7177,3.3051904761904766e-05
2022-06-26,21496.494140625,21783.724609375,21016.26953125,21027.294921875,18027170497,14,-1.0675,6.889666666666667e-05,19242.255859375,-0.0848915216689617,0,20877.76143973214,20988.242745535714,0.7173604148696133,23476.22470703125,4063.2384398409745,31602.7015867132,15349.747827349303,-0.15067598304987098,28.048407263541463,3.0,8.0,0.1554000000000002,3.9597619047619054e-05
2022-06-27,21028.23828125,21478.08984375,20620.19921875,20735.478515625,20965695707,12,-1.1171,5.8183333333333336e-05,19242.255859375,-0.0720129345037684,0,20897.181640625,20863.106305803572,0.8837958929021699,22955.22470703125,3676.383780936535,30307.992268904323,15602.457145158181,-0.15094630509717794,40.35312514787936,1.0,3.0,0.06729999999999992,4.485571428571429e-05
2022-06-28,20731.544921875,21164.423828125,20228.8125,20280.634765625,21381535161,10,-0.4114,-1.921333333333333e-05,19242.255859375,-0.0512005131126377,0,20835.758370535714,20725.523577008928,0.9444879038157251,22458.538671875,3295.3289747002905,29049.196621275583,15867.88072247442,-0.16522659216809157,39.59333301676242,-4.0,1.0,1.3178,3.401809523809525e-05
2022-06-29,20281.169921875,20364.15625,19937.791015625,20104.0234375,23552740328,13,-1.601,5.947333333333333e-05,19242.255859375,-0.0428654284454099,0,20852.471819196428,20549.179547991072,1.0744473780209476,21958.13994140625,2793.648734404144,27545.437410214538,16370.842472597964,-0.16592247989811384,36.38271219774528,-1.0,2.0,-0.5335000000000001,4.4630476190476195e-05
2022-06-30,20108.3125,20141.16015625,18729.65625,19784.7265625,26267239923,11,-1.874,-6.904666666666666e-05,19242.255859375,-0.0274186606224419,0,20666.593191964286,20506.542131696428,1.1976618301450714,21493.18603515625,2270.056534383671,26033.299103923593,16953.072966388907,-0.18815164366821627,45.85072803176866,-1.0,0.0,-0.7569000000000001,3.719761904761905e-05
2022-07-01,19820.470703125,20632.671875,19073.708984375,19269.3671875,30767551159,11,-2.0485,-4.5803333333333336e-05,19242.255859375,-0.0014069651515378,0,20386.266183035714,20420.6767578125,1.3517028430757183,21038.6138671875,1647.3002383813941,24333.21434395029,17744.013390424712,-0.26850701506392194,42.11069936640309,1.0,0.0,-1.6371000000000002,1.82704761904762e-05
2022-07-02,19274.8359375,19371.748046875,19027.08203125,19242.255859375,18100418740,14,-1.8522,1.475e-05,19297.076171875,0.0028489545560891,0,20063.397321428572,20436.720563616072,0.7965614111272055,20662.59423828125,1005.0629342876714,22672.720106856592,18652.468369705908,-0.35329588089747377,51.81376290903585,1.0,0.0,-0.2512000000000001,9.605714285714291e-06
