Date,Global_Sentiment_Tone,Value
2023-03-06,Average Tone,-1.1162
2023-03-07,Average Tone,-1.015
2023-03-08,Average Tone,-0.8072
2023-03-09,Average Tone,-1.167
2023-03-10,Average Tone,-1.5288
2023-03-11,Average Tone,-1.3602
2023-03-12,Average Tone,-1.4091
2023-03-13,Average Tone,-1.0771
2023-03-14,Average Tone,-1.1843
2023-03-15,Average Tone,-1.1206
2023-03-16,Average Tone,-1.2547
2023-03-17,Average Tone,-1.4562
2023-03-18,Average Tone,-1.3736
2023-03-19,Average Tone,-1.2745
2023-03-20,Average Tone,-1.0935
2023-03-21,Average Tone,-1.1937
2023-03-22,Average Tone,0.6377
2023-03-24,Average Tone,-0.1875
2023-03-25,Average Tone,0.4361
2023-03-26,Average Tone,0.2371
2023-03-27,Average Tone,-0.1643
2023-03-28,Average Tone,-0.4844
2023-03-29,Average Tone,-0.1803
2023-03-30,Average Tone,-0.4196
2023-03-31,Average Tone,-0.9055
2023-04-01,Average Tone,0.0283
2023-04-02,Average Tone,0.3479
2023-04-03,Average Tone,-0.0749
2023-04-04,Average Tone,-0.1927
2023-04-05,Average Tone,-0.2479
2023-04-06,Average Tone,-0.0923
2023-04-07,Average Tone,0.1623
2023-04-08,Average Tone,0.4922
2023-04-09,Average Tone,0.4328
2023-04-10,Average Tone,0.0581
2023-04-11,Average Tone,-0.0167
2023-04-12,Average Tone,-0.0163
2023-04-13,Average Tone,-0.0947
2023-04-14,Average Tone,-0.089
2023-04-15,Average Tone,0.1111
2023-04-16,Average Tone,-0.18
2023-04-17,Average Tone,0.4449
2023-04-18,Average Tone,0.8078
2023-04-19,Average Tone,0.5798
2023-04-20,Average Tone,0.4028
2023-04-21,Average Tone,0.5236
2023-04-22,Average Tone,0.5256
2023-04-23,Average Tone,0.708
2023-04-24,Average Tone,0.494
2023-04-25,Average Tone,0.5405
2023-04-26,Average Tone,0.4113
2023-04-27,Average Tone,0.5162
2023-04-28,Average Tone,0.229
2023-04-29,Average Tone,0.8041
2023-04-30,Average Tone,0.8553
2023-05-01,Average Tone,0.4998
2023-05-02,Average Tone,0.465
2023-05-03,Average Tone,0.1433
2023-05-04,Average Tone,0.4354
2023-05-05,Average Tone,0.0118
2023-05-06,Average Tone,0.6353
2023-05-07,Average Tone,0.648
2023-05-08,Average Tone,-0.2946
2023-05-09,Average Tone,-0.1782
2023-05-10,Average Tone,-0.4506
2023-05-11,Average Tone,0.0894
2023-05-12,Average Tone,0.0817
2023-05-13,Average Tone,0.8747
2023-05-14,Average Tone,0.8794
2023-05-15,Average Tone,-0.0348
2023-05-16,Average Tone,0.3831
2023-05-17,Average Tone,0.6451
2023-05-18,Average Tone,0.617
2023-05-19,Average Tone,0.2291
2023-05-20,Average Tone,0.9605
2023-05-21,Average Tone,0.7658
2023-05-22,Average Tone,0.5808
2023-05-23,Average Tone,0.4612
2023-05-24,Average Tone,0.515
2023-05-25,Average Tone,0.3854
2023-05-26,Average Tone,0.6268
2023-05-27,Average Tone,0.8198
2023-05-28,Average Tone,0.87
2023-05-29,Average Tone,0.7984
2023-05-30,Average Tone,0.3618
2023-05-31,Average Tone,0.7345
2023-06-01,Average Tone,0.627
2023-06-02,Average Tone,0.8269
2023-06-03,Average Tone,0.7395
2023-06-04,Average Tone,0.6598
2023-06-05,Average Tone,-0.7427
2023-06-06,Average Tone,-0.709
2023-06-07,Average Tone,0.1412
2023-06-08,Average Tone,0.3833
2023-06-09,Average Tone,-0.1016
2023-06-10,Average Tone,0.1841
2023-06-11,Average Tone,0.7617
2023-06-12,Average Tone,0.1124
2023-06-13,Average Tone,0.5717
2023-06-14,Average Tone,0.3352
2023-06-15,Average Tone,0.435
2023-06-16,Average Tone,0.6993
2023-06-17,Average Tone,0.9452
2023-06-18,Average Tone,0.7959
2023-06-19,Average Tone,0.7584
2023-06-20,Average Tone,0.7762
2023-06-21,Average Tone,0.6885
2023-06-22,Average Tone,0.4525
2023-06-23,Average Tone,0.4771
2023-06-24,Average Tone,0.8679
2023-06-25,Average Tone,0.8192
2023-06-26,Average Tone,0.6143
2023-06-27,Average Tone,0.5962
2023-06-28,Average Tone,0.6722
2023-06-29,Average Tone,0.778
2023-06-30,Average Tone,0.8911
2023-07-01,Average Tone,0.948
2023-07-02,Average Tone,0.967
2023-07-03,Average Tone,0.496
2023-07-04,Average Tone,0.7739
2023-07-05,Average Tone,0.7219
2023-07-06,Average Tone,0.9156
2023-07-07,Average Tone,0.7315
2023-07-08,Average Tone,1.0433
2023-07-09,Average Tone,0.9404
2023-07-10,Average Tone,0.8056
2023-07-11,Average Tone,0.6929
2023-07-12,Average Tone,0.552
2023-07-13,Average Tone,0.4993
2023-07-14,Average Tone,0.4901
2023-07-15,Average Tone,0.7978
2023-07-16,Average Tone,0.9311
2023-07-17,Average Tone,0.6442
2023-07-18,Average Tone,0.533
2023-07-19,Average Tone,0.9151
2023-07-20,Average Tone,0.6677
2023-07-21,Average Tone,0.4251
2023-07-22,Average Tone,0.733
2023-07-23,Average Tone,0.8136
2023-07-24,Average Tone,0.5184
2023-07-25,Average Tone,0.6357
2023-07-26,Average Tone,0.2668
2023-07-27,Average Tone,-0.5697
2023-07-28,Average Tone,0.3456
2023-07-29,Average Tone,0.8799
2023-07-30,Average Tone,1.083
2023-07-31,Average Tone,0.2984
2023-08-01,Average Tone,-0.0969
2023-08-02,Average Tone,0.3105
2023-08-03,Average Tone,0.4599
2023-08-04,Average Tone,0.4281
2023-08-05,Average Tone,0.6974
2023-08-06,Average Tone,0.9038
2023-08-07,Average Tone,0.1215
2023-08-08,Average Tone,0.3557
2023-08-09,Average Tone,0.3994
2023-08-10,Average Tone,0.7566
2023-08-11,Average Tone,0.7202
2023-08-12,Average Tone,0.8282
2023-08-13,Average Tone,0.6714
2023-08-14,Average Tone,0.4401
2023-08-15,Average Tone,0.7767
2023-08-16,Average Tone,0.8024
2023-08-17,Average Tone,0.4471
2023-08-18,Average Tone,-0.1984
2023-08-19,Average Tone,0.6242
2023-08-20,Average Tone,0.9722
2023-08-21,Average Tone,0.1208
2023-08-22,Average Tone,0.4922
2023-08-23,Average Tone,0.4225
2023-08-24,Average Tone,0.5561
2023-08-25,Average Tone,0.5142
2023-08-26,Average Tone,0.7135
2023-08-27,Average Tone,0.9111
2023-08-28,Average Tone,0.3658
2023-08-29,Average Tone,0.2958
2023-08-30,Average Tone,0.114
2023-08-31,Average Tone,-0.4226
2023-09-01,Average Tone,0.1197
2023-09-02,Average Tone,0.8721
2023-09-03,Average Tone,0.9291
2023-09-04,Average Tone,0.6312
2023-09-05,Average Tone,0.8421
2023-09-06,Average Tone,0.4762
2023-09-07,Average Tone,0.2946
2023-09-08,Average Tone,0.2242
2023-09-09,Average Tone,0.4725
2023-09-10,Average Tone,1.1695
2023-09-11,Average Tone,0.0218
2023-09-12,Average Tone,-0.256
2023-09-13,Average Tone,0.031
2023-09-14,Average Tone,0.2286
2023-09-15,Average Tone,0.6837
2023-09-16,Average Tone,0.1221
2023-09-17,Average Tone,0.8902
2023-09-18,Average Tone,0.6047
2023-09-19,Average Tone,0.5828
2023-09-20,Average Tone,0.6491
2023-09-21,Average Tone,0.1422
2023-09-22,Average Tone,0.5235
2023-09-23,Average Tone,0.7196
2023-09-24,Average Tone,0.8492
2023-09-25,Average Tone,0.4079
2023-09-26,Average Tone,0.2639
2023-09-27,Average Tone,-0.3198
2023-09-28,Average Tone,0.5635
2023-09-29,Average Tone,0.6382
2023-09-30,Average Tone,0.3337
2023-10-01,Average Tone,0.6573
2023-10-02,Average Tone,-0.507
2023-10-03,Average Tone,0.1763
2023-10-04,Average Tone,-0.052
2023-10-05,Average Tone,-0.1833
2023-10-06,Average Tone,0.5536
2023-10-07,Average Tone,0.7462
2023-10-08,Average Tone,0.4684
2023-10-09,Average Tone,0.1074
2023-10-10,Average Tone,0.1689
2023-10-11,Average Tone,-0.2638
2023-10-12,Average Tone,0.4279
2023-10-13,Average Tone,0.4596
2023-10-14,Average Tone,0.7256
2023-10-15,Average Tone,0.5155
2023-10-16,Average Tone,0.4159
2023-10-17,Average Tone,0.4136
2023-10-18,Average Tone,0.4707
2023-10-19,Average Tone,0.4553
2023-10-20,Average Tone,0.6179
2023-10-21,Average Tone,0.6979
2023-10-22,Average Tone,0.8121
2023-10-23,Average Tone,0.3571
2023-10-24,Average Tone,0.508
2023-10-25,Average Tone,0.6067
2023-10-26,Average Tone,-0.0541
2023-10-27,Average Tone,0.4099
2023-10-28,Average Tone,0.6708
2023-10-29,Average Tone,1.0265
2023-10-30,Average Tone,0.7648
2023-10-31,Average Tone,0.9114
2023-11-01,Average Tone,0.5246
2023-11-02,Average Tone,0.2891
2023-11-03,Average Tone,-0.8157
2023-11-04,Average Tone,0.3606
2023-11-05,Average Tone,0.8112
2023-11-06,Average Tone,0.5528
2023-11-07,Average Tone,0.6418
2023-11-08,Average Tone,0.8408
2023-11-09,Average Tone,0.7695
2023-11-10,Average Tone,0.5723
2023-11-11,Average Tone,-0.2443
2023-11-12,Average Tone,0.9272
2023-11-13,Average Tone,0.5175
2023-11-14,Average Tone,0.2134
2023-11-15,Average Tone,0.5392
2023-11-16,Average Tone,0.1328
2023-11-17,Average Tone,0.3863
2023-11-18,Average Tone,0.2423
2023-11-19,Average Tone,0.4169
2023-11-20,Average Tone,0.6432
2023-11-21,Average Tone,0.0301
2023-11-22,Average Tone,-0.319
2023-11-23,Average Tone,0.287
2023-11-24,Average Tone,-0.0525
2023-11-25,Average Tone,0.9155
2023-11-26,Average Tone,0.8215
2023-11-27,Average Tone,0.3872
2023-11-28,Average Tone,0.4938
2023-11-29,Average Tone,0.2485
2023-11-30,Average Tone,0.4629
2023-12-01,Average Tone,0.4402
2023-12-02,Average Tone,-0.0613
2023-12-03,Average Tone,0.6966
2023-12-04,Average Tone,0.0108
2023-12-05,Average Tone,0.4323
2023-12-06,Average Tone,0.2745
